子域名,出现次数,URL示例（管道符分隔）
runway.com,15,https://runway.com/product/ai-video-generator?utm_source=chatgpt.com|https://runway.com/research/introducing-runway-gen-4?utm_source=chatgpt.com|https://runway.com/pricing?tool=runway&utm_source=chatgpt.com|https://runway.com/resources/create-consistent-ai-characters?utm_source=chatgpt.com|https://runway.com/product?utm_source=chatgpt.com
help.runwayml.com,11,https://help.runwayml.com/hc/en-us/articles/51285026291219-Character-Script-to-Video?utm_source=chatgpt.com|https://help.runwayml.com/hc/en-us/articles/40042718905875-Creating-with-Gen-4-Image-References?utm_source=chatgpt.com|https://help.runwayml.com/hc/en-us/articles/26871350018835-How-to-create-longer-videos-and-films?utm_source=chatgpt.com|https://help.runwayml.com/hc/en-us/articles/15124877443219-How-do-credits-work?utm_source=chatgpt.com|https://help.runwayml.com/hc/en-us/articles/37425232841875-Getting-Started-with-Generative-Video?utm_source=chatgpt.com|https://help.runwayml.com/hc/en-us/articles/46974685288467-Creating-with-Gen-4-5?utm_source=chatgpt.com|https://help.runwayml.com/hc/en-us/articles/52963720640275-Using-reference-media-to-guide-your-generations?utm_source=chatgpt.com|https://help.runwayml.com/hc/en-us/articles/37327109429011-Creating-with-Gen-4-Video?utm_source=chatgpt.com
openai.com,4,https://openai.com/index/sora/?utm_source=chatgpt.com|https://openai.com/sora/?shareId=27&utm_source=chatgpt.com|https://openai.com/index/video-generation-models-as-world-simulators/?utm_source=chatgpt.com
kling.ai,4,https://kling.ai/quickstart/klingai-element-library-3-user-guide?utm_source=chatgpt.com|https://kling.ai/app/?utm_source=chatgpt.com|https://kling.ai/?utm_source=chatgpt.com
academy.runwayml.com,4,https://academy.runwayml.com/courses/gen-4?utm_source=chatgpt.com|https://academy.runwayml.com/models-pricing?utm_source=chatgpt.com
www.sciencedirect.com,4,https://www.sciencedirect.com/science/article/pii/S092523122501505X?utm_source=chatgpt.com|https://www.sciencedirect.com/science/article/pii/S0031320326004619?utm_source=chatgpt.com|https://www.sciencedirect.com/science/article/abs/pii/S0952197626018129?utm_source=chatgpt.com
www.ft.com,3,https://www.ft.com/content/7117ff02-d495-4936-8f05-fa73a7a5c669?utm_source=chatgpt.com
elevenlabs.io,3,https://elevenlabs.io/text-to-speech?utm_source=chatgpt.com|https://elevenlabs.io/docs/eleven-creative/voices/voice-cloning?utm_source=chatgpt.com|https://elevenlabs.io/pricing?gspk=ZTQyMzQwYjhkZmIz&gsxid=iVbelGnCMp8oLL&ps_partner_key=ZTQyMzQwYjhkZmIz&ps_xid=iVbelGnCMp8oLL&pscd=try.elevenlabs.io&utm_source=chatgpt.com
www.capcut.com,3,https://www.capcut.com/resource/capcut-ai?utm_source=chatgpt.com|https://www.capcut.com/tools/script-to-video-maker?utm_source=chatgpt.com|https://www.capcut.com/resource/ai-editing-the-capcut-way?utm_source=chatgpt.com
helpx.adobe.com,3,https://helpx.adobe.com/premiere/desktop/premiere-ai-assistant/overview.html?utm_source=chatgpt.com|https://helpx.adobe.com/firefly/web/get-started/learn-the-basics/adobe-firefly-faq.html?utm_source=chatgpt.com
invideo.io,3,https://invideo.io/blog/ai-micro-drama-platforms/?utm_source=chatgpt.com
support.tiktok.com,3,https://support.tiktok.com/en/business-and-creator/tiktok-creator-fund-us?utm_source=chatgpt.com|https://support.tiktok.com/ar/business-and-creator/creator-rewards-program/creator-rewards-program?invalid_lang=zh_Hant&utm_source=chatgpt.com
