用例编号,所属模块,用例标题,前置条件,操作步骤,问题描述,ui原型图,截图,预期,用例类选,适用阶段,优先级,,,验收,复测,
,,短剧官网,,,"


短剧官网--使用真实邮箱注册成功后，在发行中心，申请入驻，获取验证码


邮件信息验证码，还异常提示的登录验证码


需要区分类型，或者改成通用一点的文案，类似下面的邮件验证码


手机验证码和邮箱验证码，都调整",,,,,,,,,,,
,,,,,"短剧官网--使用真实邮箱，在发行中心，申请入驻成功后

界面异常提示，认证失败，这个是什么原因",,,,,,,,,,,
,,,,,"短剧官网--发行中心，，使用未注册的新邮箱，直接发送入驻申请
审批通过后，能上剧成功

这时退出登录，使用验证码登录，，能登录成功

再次退出登录，，通过忘记密码，获取接收到真实验证码后
修改密码抛异常",,,,,,,,,,,
,,,,,"短剧官网--发行中心，美国真实手机号，选择+1地区，使用验证码注册成功后
在发行中心，获取验证码，提示，获取验证码失败
这边查看是没有回显，也没有传区号
需要回显区号，，传区号，获取验证码

截图里的历史测试码已移除，请使用测试夹具复现

已复现问题的真实手机号：
+1 2127128166

a123123",,,,,,,,,,,
,,,,,"注册一个新账号--在短剧h5--搜索shix这部剧

还是没有显示单独设置的价格77.7和7.7

需要显示单独设置的价格

短剧h5复现账户：
rgewerwgeg@gmail.com
a123123",,,,,,,,,,,
,,,,,"短剧官网--发行中心，，有可提现余额后，，也绑定银行卡后
这个提交结算申请，还是置灰的，无法点击

需要满足什么条件，才能提交结算申请呢
账户
+8613745642400
a123123",,,,,,,,,,,
,,,,,"在短剧官网--发行中心，上剧，使用批量上传剧
剧的地址我直接使用的我们平台的剧地址
怎么无法播放，看着是没有请求剧地址

https://oss.reelchain.art/20251215/50934a53841442aab7f34461f63f8630.mp4",,,,,,,,,,,
,,,,,"短剧官网和短剧h5都存在的问题，网站路由，填写不存在的路由
会造成界面白屏，，

需要处理一下，访问的路由不存在，就跳转到首页


复现地址：
https://www.lollipop.im/distribution/paymfasfasfsasaf",,,,,,,,,,还存在，已提交到0706,✅
,,,,,"短剧官网--发行中心，账号信息，昵称需要限制一下，
不能超过50字符，不然后端在报错",,,,,,,,,,,
,,,,,短剧官网--发行中心，账户信息，这4个填写框，都需要限制不能超过50字符,,,,,,,,,,,
,,,,,"短剧官网--发行中心，账号信息，启用2步验证后
还是只单步密码验证，，或者单步验证码验证，就登录成功了
需要2个验证条件",,,,,,,,,,,
,,,,,"短剧官网--发行中心，其中一个发行方，，邀请一个新账号，进入发行中心的工作台后
使用这个被邀请的账号9712533444

无法查看发行方的剧目，也无法管理和分配",,,,,,,,,,,
,,,,,短剧官网--发行中心，英文环境下，成员页面，需要显示英文,,,,,,,,,,还存在，已提交到0706,
,,,,,"短剧官网--发行中心，账号信息，，我这个183105是使用邮箱创建的账号
1、异常显示未设置邮箱，，需要回显邮箱
2、登录手机号未设置，需要有设置按钮",,,,,,,,,,,
,,,,,"短剧官网--发行中心，账号信息，打开短信的登录提现和结算通知后
我使用账号+86  13745642400
a123123



在2台不同的电脑登录后，，后管查看，，并没有短信发送的登录通知，
需要有通知和记录

就算没有发送成功，，也应当有发送记录的

短剧和邮箱的记录都需要",,,,,,,,,,,
